Date,Time,Station,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction_Deg,Wind_Direction_Label,Rainfall
2026-03-26,22:40:09,Uppal SPCB,24.74,40.0,1009.0,2.79,197.0,S,0.0
2026-03-26,22:40:09,Zoo Park SPCB,24.65,64.0,1010.0,2.06,160.0,S,0.0
2026-03-27,22:42:20,Balanagar SPCB,24.47,30.0,1008.0,3.51,244.0,SW,0.0
2026-03-27,22:42:20,HITEC City,24.16,32.0,1008.0,3.57,242.0,SW,0.0
2026-03-27,22:42:20,IDA Pashamylaram SPCB,28.94,33.0,1008.0,3.67,217.0,SW,0.0
2026-03-27,22:42:20,Sanathnagar SPCB,24.4,30.0,1008.0,3.51,244.0,SW,0.0
2026-03-27,22:42:20,US Consulate,24.25,32.0,1008.0,3.62,240.0,SW,0.0
2026-03-27,22:42:20,Uppal SPCB,24.74,30.0,1007.0,3.16,252.0,W,0.0
2026-03-27,22:42:20,Zoo Park SPCB,24.65,69.0,1008.0,2.06,170.0,S,0.0
2026-03-28,22:38:33,Balanagar SPCB,24.47,22.0,1006.0,1.91,156.0,SE,0.0
2026-03-28,22:38:33,HITEC City,24.16,24.0,1006.0,2.42,166.0,S,0.0
2026-03-28,22:38:33,IDA Pashamylaram SPCB,28.86,26.0,1006.0,1.37,196.0,S,0.0
2026-03-28,22:38:33,Sanathnagar SPCB,24.4,22.0,1006.0,1.91,156.0,SE,0.0
2026-03-28,22:38:33,US Consulate,24.25,25.0,1006.0,2.52,169.0,S,0.0
2026-03-28,22:38:33,Uppal SPCB,24.74,24.0,1006.0,1.23,154.0,SE,0.0
2026-03-28,22:38:33,Zoo Park SPCB,24.65,57.0,1006.0,2.57,220.0,SW,0.0
2026-03-29,22:40:13,Balanagar SPCB,23.47,53.0,1007.0,3.34,149.0,SE,0.0
2026-03-29,22:40:13,HITEC City,23.16,53.0,1007.0,3.42,152.0,SE,0.0
2026-03-29,22:40:13,IDA Pashamylaram SPCB,26.7,52.0,1006.0,3.59,157.0,SE,0.0
2026-03-29,22:40:13,Sanathnagar SPCB,23.4,53.0,1007.0,3.34,149.0,SE,0.0
2026-03-29,22:40:13,US Consulate,23.25,53.0,1007.0,3.48,153.0,SE,0.0
2026-03-29,22:40:13,Uppal SPCB,23.74,56.0,1007.0,2.72,149.0,SE,0.0
2026-03-29,22:40:13,Zoo Park SPCB,23.65,83.0,1007.0,1.03,0.0,N,0.0
2026-03-30,22:47:02,Balanagar SPCB,26.77,46.0,1009.0,3.73,283.0,W,0.0
2026-03-30,22:47:02,HITEC City,25.66,49.0,1009.0,4.14,279.0,W,0.0
2026-03-30,22:47:02,IDA Pashamylaram SPCB,24.4,57.0,1009.0,4.13,277.0,W,0.0
2026-03-30,22:47:02,Sanathnagar SPCB,26.77,46.0,1009.0,3.73,283.0,W,0.0
2026-03-30,22:47:02,US Consulate,25.35,50.0,1009.0,4.32,280.0,W,0.0
2026-03-30,22:47:02,Uppal SPCB,26.75,47.0,1009.0,2.22,275.0,W,0.0
2026-03-30,22:47:02,Zoo Park SPCB,25.72,50.0,1009.0,3.28,263.0,W,0.0
2026-03-31,22:42:33,Balanagar SPCB,23.47,44.0,1010.0,2.74,87.0,E,0.0
2026-03-31,22:42:33,HITEC City,23.16,44.0,1010.0,2.23,89.0,E,0.0
2026-03-31,22:42:33,IDA Pashamylaram SPCB,26.28,47.0,1009.0,1.33,87.0,E,0.0
2026-03-31,22:42:33,Sanathnagar SPCB,23.4,44.0,1010.0,2.74,87.0,E,0.0
2026-03-31,22:42:33,US Consulate,23.25,45.0,1009.0,1.96,90.0,E,0.0
